doc_id,strategy,strategy_label,mean_pairwise_agreement
2024-CARE-USA-Financial-Statements_Final,S1_full,S1 – Full text,1.0
2024_Water.org_audited_financials,S1_full,S1 – Full text,1.0
8392233-FinancialStatement-1708722656073,S1_full,S1 – Full text,1.0
BRAC-Liberia-Audited-Financial-Statements,S1_full,S1 – Full text,1.0
BRAC-Uganda-Audited-Financial-Statements,S1_full,S1 – Full text,0.888888888888889
FY23_Audit,S1_full,S1 – Full text,1.0
FY24-25-ALC-Audit-Financial,S1_full,S1 – Full text,1.0
Justice-in-Aging-FY23-Audited-Financial-Statements,S1_full,S1 – Full text,1.0
PATH-annual-report-2024,S1_full,S1 – Full text,1.0
Public-Citizen-Foundation-Inc.-FS-3,S1_full,S1 – Full text,1.0
Somos+2024+Audited+Financial+Statements+-+Final,S1_full,S1 – Full text,0.888888888888889
financial-statements-2024,S1_full,S1 – Full text,0.888888888888889
2024-CARE-USA-Financial-Statements_Final,S2_sections,S2 – Section filtering,1.0
2024_Water.org_audited_financials,S2_sections,S2 – Section filtering,1.0
8392233-FinancialStatement-1708722656073,S2_sections,S2 – Section filtering,0.888888888888889
BRAC-Liberia-Audited-Financial-Statements,S2_sections,S2 – Section filtering,1.0
BRAC-Uganda-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0.888888888888889
FY23_Audit,S2_sections,S2 – Section filtering,0.888888888888889
FY24-25-ALC-Audit-Financial,S2_sections,S2 – Section filtering,0.888888888888889
Justice-in-Aging-FY23-Audited-Financial-Statements,S2_sections,S2 – Section filtering,1.0
PATH-annual-report-2024,S2_sections,S2 – Section filtering,0.888888888888889
Public-Citizen-Foundation-Inc.-FS-3,S2_sections,S2 – Section filtering,1.0
Somos+2024+Audited+Financial+Statements+-+Final,S2_sections,S2 – Section filtering,0.888888888888889
financial-statements-2024,S2_sections,S2 – Section filtering,0.888888888888889
2024-CARE-USA-Financial-Statements_Final,S3_fields,S3 – Field extraction,1.0
2024_Water.org_audited_financials,S3_fields,S3 – Field extraction,0.888888888888889
8392233-FinancialStatement-1708722656073,S3_fields,S3 – Field extraction,0.888888888888889
BRAC-Liberia-Audited-Financial-Statements,S3_fields,S3 – Field extraction,1.0
BRAC-Uganda-Audited-Financial-Statements,S3_fields,S3 – Field extraction,1.0
FY23_Audit,S3_fields,S3 – Field extraction,1.0
FY24-25-ALC-Audit-Financial,S3_fields,S3 – Field extraction,1.0
Justice-in-Aging-FY23-Audited-Financial-Statements,S3_fields,S3 – Field extraction,1.0
PATH-annual-report-2024,S3_fields,S3 – Field extraction,0.888888888888889
Public-Citizen-Foundation-Inc.-FS-3,S3_fields,S3 – Field extraction,1.0
Somos+2024+Audited+Financial+Statements+-+Final,S3_fields,S3 – Field extraction,1.0
financial-statements-2024,S3_fields,S3 – Field extraction,0.888888888888889
2024-CARE-USA-Financial-Statements_Final,S4_hybrid,S4 – Hybrid,1.0
2024_Water.org_audited_financials,S4_hybrid,S4 – Hybrid,1.0
8392233-FinancialStatement-1708722656073,S4_hybrid,S4 – Hybrid,0.888888888888889
BRAC-Liberia-Audited-Financial-Statements,S4_hybrid,S4 – Hybrid,1.0
BRAC-Uganda-Audited-Financial-Statements,S4_hybrid,S4 – Hybrid,1.0
FY23_Audit,S4_hybrid,S4 – Hybrid,1.0
FY24-25-ALC-Audit-Financial,S4_hybrid,S4 – Hybrid,0.888888888888889
Justice-in-Aging-FY23-Audited-Financial-Statements,S4_hybrid,S4 – Hybrid,1.0
PATH-annual-report-2024,S4_hybrid,S4 – Hybrid,0.888888888888889
Public-Citizen-Foundation-Inc.-FS-3,S4_hybrid,S4 – Hybrid,1.0
Somos+2024+Audited+Financial+Statements+-+Final,S4_hybrid,S4 – Hybrid,1.0
financial-statements-2024,S4_hybrid,S4 – Hybrid,0.888888888888889
2024-CARE-USA-Financial-Statements_Final,S5_extended,S5 – Extended extraction,0.888888888888889
2024_Water.org_audited_financials,S5_extended,S5 – Extended extraction,1.0
8392233-FinancialStatement-1708722656073,S5_extended,S5 – Extended extraction,1.0
BRAC-Liberia-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,1.0
BRAC-Uganda-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,1.0
FY23_Audit,S5_extended,S5 – Extended extraction,1.0
FY24-25-ALC-Audit-Financial,S5_extended,S5 – Extended extraction,1.0
Justice-in-Aging-FY23-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,1.0
PATH-annual-report-2024,S5_extended,S5 – Extended extraction,0.888888888888889
Public-Citizen-Foundation-Inc.-FS-3,S5_extended,S5 – Extended extraction,0.888888888888889
Somos+2024+Audited+Financial+Statements+-+Final,S5_extended,S5 – Extended extraction,1.0
financial-statements-2024,S5_extended,S5 – Extended extraction,1.0
