strategy,strategy_label,dimension,dimension_label,evaluable_cases,gold_positive_cases,predicted_positive_cases,correct_predictions,precision,recall,f1,accuracy
S1_full,S1 – Full text,revenue_concentration,Revenue concentration,10,9,6,7,1.0,0.6666666666666666,0.8,0.7
S1_full,S1 – Full text,expense_spike,Expense spike,11,6,8,9,0.75,1.0,0.8571428571428571,0.8181818181818182
S1_full,S1 – Full text,pass_through_risk,Pass-through risk,8,8,8,8,1.0,1.0,1.0,1.0
S1_full,S1 – Full text,unallowable_expenditure,Unallowable expenditure,7,5,0,2,0.0,0.0,0.0,0.2857142857142857
S1_full,S1 – Full text,audit_opinion,Audit opinion,11,0,0,11,0.0,0.0,0.0,1.0
S1_full,S1 – Full text,going_concern,Going concern,11,1,0,10,0.0,0.0,0.0,0.9090909090909091
S2_sections,S2 – Section filtering,revenue_concentration,Revenue concentration,10,9,6,7,1.0,0.6666666666666666,0.8,0.7
S2_sections,S2 – Section filtering,expense_spike,Expense spike,11,6,9,8,0.6666666666666666,1.0,0.8,0.7272727272727273
S2_sections,S2 – Section filtering,pass_through_risk,Pass-through risk,8,8,8,8,1.0,1.0,1.0,1.0
S2_sections,S2 – Section filtering,unallowable_expenditure,Unallowable expenditure,7,5,0,2,0.0,0.0,0.0,0.2857142857142857
S2_sections,S2 – Section filtering,audit_opinion,Audit opinion,11,0,0,11,0.0,0.0,0.0,1.0
S2_sections,S2 – Section filtering,going_concern,Going concern,11,1,0,10,0.0,0.0,0.0,0.9090909090909091
S3_fields,S3 – Field extraction,revenue_concentration,Revenue concentration,10,9,5,6,1.0,0.5555555555555556,0.7142857142857143,0.6
S3_fields,S3 – Field extraction,expense_spike,Expense spike,11,6,6,5,0.5,0.5,0.5,0.45454545454545453
S3_fields,S3 – Field extraction,pass_through_risk,Pass-through risk,8,8,5,5,1.0,0.625,0.7692307692307693,0.625
S3_fields,S3 – Field extraction,unallowable_expenditure,Unallowable expenditure,7,5,0,2,0.0,0.0,0.0,0.2857142857142857
S3_fields,S3 – Field extraction,audit_opinion,Audit opinion,11,0,0,11,0.0,0.0,0.0,1.0
S3_fields,S3 – Field extraction,going_concern,Going concern,11,1,0,10,0.0,0.0,0.0,0.9090909090909091
S4_hybrid,S4 – Hybrid,revenue_concentration,Revenue concentration,10,9,5,6,1.0,0.5555555555555556,0.7142857142857143,0.6
S4_hybrid,S4 – Hybrid,expense_spike,Expense spike,11,6,6,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6363636363636364
S4_hybrid,S4 – Hybrid,pass_through_risk,Pass-through risk,8,8,5,5,1.0,0.625,0.7692307692307693,0.625
S4_hybrid,S4 – Hybrid,unallowable_expenditure,Unallowable expenditure,7,5,0,2,0.0,0.0,0.0,0.2857142857142857
S4_hybrid,S4 – Hybrid,audit_opinion,Audit opinion,11,0,0,11,0.0,0.0,0.0,1.0
S4_hybrid,S4 – Hybrid,going_concern,Going concern,11,1,0,10,0.0,0.0,0.0,0.9090909090909091
S5_extended,S5 – Extended extraction,revenue_concentration,Revenue concentration,10,9,5,6,1.0,0.5555555555555556,0.7142857142857143,0.6
S5_extended,S5 – Extended extraction,expense_spike,Expense spike,11,6,10,7,0.6,1.0,0.75,0.6363636363636364
S5_extended,S5 – Extended extraction,pass_through_risk,Pass-through risk,8,8,5,5,1.0,0.625,0.7692307692307693,0.625
S5_extended,S5 – Extended extraction,unallowable_expenditure,Unallowable expenditure,7,5,0,2,0.0,0.0,0.0,0.2857142857142857
S5_extended,S5 – Extended extraction,audit_opinion,Audit opinion,11,0,1,10,0.0,0.0,0.0,0.9090909090909091
S5_extended,S5 – Extended extraction,going_concern,Going concern,11,1,0,10,0.0,0.0,0.0,0.9090909090909091
