experiment_doc_id,gold_document_id,dimension,dimension_label,gold_label,S1_full,S2_sections,S3_fields,S4_hybrid,S5_extended,S1_full_detected,S2_sections_detected,S3_fields_detected,S4_hybrid_detected,S5_extended_detected
2024-CARE-USA-Financial-Statements_Final,CARE_USA_AuditedFinancials_2024,pass_through_risk,Pass-through risk,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
2024-CARE-USA-Financial-Statements_Final,CARE_USA_AuditedFinancials_2024,revenue_concentration,Revenue concentration,ESCALATE,FLAG,CLEAR,FLAG,FLAG,FLAG,True,False,True,True,True
2024-CARE-USA-Financial-Statements_Final,CARE_USA_AuditedFinancials_2024,unallowable_expenditure,Unallowable expenditure,FLAG,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,False,False,False,False,False
2024_Water.org_audited_financials,WaterOrg_AuditedFinancials_2024,expense_spike,Expense spike,FLAG,FLAG,FLAG,CLEAR,FLAG,FLAG,True,True,False,True,True
2024_Water.org_audited_financials,WaterOrg_AuditedFinancials_2024,pass_through_risk,Pass-through risk,FLAG,FLAG,FLAG,CLEAR,CLEAR,CLEAR,True,True,False,False,False
2024_Water.org_audited_financials,WaterOrg_AuditedFinancials_2024,revenue_concentration,Revenue concentration,FLAG,FLAG,FLAG,CLEAR,CLEAR,CLEAR,True,True,False,False,False
8392233-FinancialStatement-1708722656073,RiverNetwork_AuditedFinancials_2023,expense_spike,Expense spike,FLAG,FLAG,FLAG,CLEAR,FLAG,FLAG,True,True,False,True,True
8392233-FinancialStatement-1708722656073,RiverNetwork_AuditedFinancials_2023,pass_through_risk,Pass-through risk,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
8392233-FinancialStatement-1708722656073,RiverNetwork_AuditedFinancials_2023,revenue_concentration,Revenue concentration,FLAG,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,False,False,False,False,False
8392233-FinancialStatement-1708722656073,RiverNetwork_AuditedFinancials_2023,unallowable_expenditure,Unallowable expenditure,FLAG,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,False,False,False,False,False
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,expense_spike,Expense spike,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,pass_through_risk,Pass-through risk,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
BRAC-Liberia-Audited-Financial-Statements,BRAC_Liberia_AuditedFinancials_2023,revenue_concentration,Revenue concentration,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,expense_spike,Expense spike,FLAG,FLAG,FLAG,CLEAR,CLEAR,FLAG,True,True,False,False,True
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,revenue_concentration,Revenue concentration,ESCALATE,CLEAR,FLAG,CLEAR,CLEAR,CLEAR,False,True,False,False,False
FY23_Audit,RockingTheBoat_AuditedFinancials_2023,unallowable_expenditure,Unallowable expenditure,FLAG,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,False,False,False,False,False
FY24-25-ALC-Audit-Financial,AsianLawCaucus_AuditedFinancials_2025,expense_spike,Expense spike,FLAG,FLAG,FLAG,FLAG,CLEAR,FLAG,True,True,True,False,True
FY24-25-ALC-Audit-Financial,AsianLawCaucus_AuditedFinancials_2025,pass_through_risk,Pass-through risk,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
FY24-25-ALC-Audit-Financial,AsianLawCaucus_AuditedFinancials_2025,unallowable_expenditure,Unallowable expenditure,ESCALATE,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,False,False,False,False,False
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,expense_spike,Expense spike,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
Justice-in-Aging-FY23-Audited-Financial-Statements,JusticeInAging_AuditedFinancials_2023,revenue_concentration,Revenue concentration,ESCALATE,FLAG,FLAG,FLAG,FLAG,FLAG,True,True,True,True,True
PATH-annual-report-2024,PATH_AnnualReport_2024,pass_through_risk,Pass-through risk,FLAG,FLAG,FLAG,CLEAR,CLEAR,CLEAR,True,True,False,False,False
PATH-annual-report-2024,PATH_AnnualReport_2024,revenue_concentration,Revenue concentration,FLAG,CLEAR,CLEAR,FLAG,FLAG,FLAG,False,False,True,True,True
Somos+2024+Audited+Financial+Statements+-+Final,SOMOSMayfair_AuditedFinancials_2024,pass_through_risk,Pass-through risk,FLAG,FLAG,FLAG,CLEAR,CLEAR,CLEAR,True,True,False,False,False
